Date,Basic EPS,level_0
"2009-12-31,""2.06"",AT&T"
"2010-12-31,""3.36"",AT&T"
"2011-12-31,""0.66"",AT&T"
"2012-12-31,""1.25"",AT&T"
"2013-12-31,""3.42"",AT&T"
"2014-12-31,""1.24"",AT&T"
"2015-12-31,""2.37"",AT&T"
"2016-12-31,""2.1"",AT&T"
"2017-12-31,""4.77"",AT&T"
"2018-12-31,""2.85"",AT&T"
2009-12-31,1,T-Mobile
"2010-12-31,""1.08"",T-Mobile"
"2011-12-31,""-8.81"",T-Mobile"
"2012-12-31,""-13.7"",T-Mobile"
"2013-12-31,""0.05"",T-Mobile"
"2014-12-31,""0.31"",T-Mobile"
"2015-12-31,""0.83"",T-Mobile"
"2016-12-31,""1.71"",T-Mobile"
"2017-12-31,""5.39"",T-Mobile"
"2018-12-31,""3.4"",T-Mobile"
"2009-12-31,""1.72"",Verizon"
"2010-12-31,""0.9"",Verizon"
"2011-12-31,""0.85"",Verizon"
"2012-12-31,""0.9"",Verizon"
"2013-12-31,""4.01"",Verizon"
"2014-12-31,""2.42"",Verizon"
"2015-12-31,""4.38"",Verizon"
"2016-12-31,""3.22"",Verizon"
"2017-12-31,""7.37"",Verizon"
"2018-12-31,""3.76"",Verizon"
