Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,level_0
2018-03-27,34.85,35.2,34.69,34.9,33198184.0,0.0,1.0,34.85,35.2,34.69,34.9,33198184.0,AT&T
2018-03-26,35.06,35.2866,34.44,34.69,31281785.0,0.0,1.0,35.06,35.2866,34.44,34.69,31281785.0,AT&T
2018-03-23,35.37,35.99,34.55,34.7,34260415.0,0.0,1.0,35.37,35.99,34.55,34.7,34260415.0,AT&T
2018-03-22,35.95,36.04,35.36,35.37,28063362.0,0.0,1.0,35.95,36.04,35.36,35.37,28063362.0,AT&T
2018-03-21,36.34,36.5,36.0,36.0,16776049.0,0.0,1.0,36.34,36.5,36.0,36.0,16776049.0,AT&T
2018-03-20,36.68,36.82,36.18,36.34,19956102.0,0.0,1.0,36.68,36.82,36.18,36.34,19956102.0,AT&T
2018-03-19,36.98,37.095,36.47,36.58,19330555.0,0.0,1.0,36.98,37.095,36.47,36.58,19330555.0,AT&T
2018-03-16,37.09,37.34,36.9,37.0,32843930.0,0.0,1.0,37.09,37.34,36.9,37.0,32843930.0,AT&T
2018-03-15,37.09,37.29,37.01,37.04,21648136.0,0.0,1.0,37.09,37.29,37.01,37.04,21648136.0,AT&T
2018-03-14,37.59,37.59,36.96,37.03,18265962.0,0.0,1.0,37.59,37.59,36.96,37.03,18265962.0,AT&T
2018-03-13,37.55,37.81,37.26,37.39,19094350.0,0.0,1.0,37.55,37.81,37.26,37.39,19094350.0,AT&T
2018-03-12,37.05,37.565,37.04,37.36,22288893.0,0.0,1.0,37.05,37.565,37.04,37.36,22288893.0,AT&T
2018-03-09,37.17,37.22,36.82,37.05,18776503.0,0.0,1.0,37.17,37.22,36.82,37.05,18776503.0,AT&T
2018-03-08,36.91,37.11,36.56,37.11,19212473.0,0.0,1.0,36.91,37.11,36.56,37.11,19212473.0,AT&T
2018-03-07,36.59,37.025,36.56,36.91,18485992.0,0.0,1.0,36.59,37.025,36.56,36.91,18485992.0,AT&T
2018-03-06,36.83,36.9,36.5,36.87,17446240.0,0.0,1.0,36.83,36.9,36.5,36.87,17446240.0,AT&T
2018-03-05,36.2,36.82,36.1,36.7,19298996.0,0.0,1.0,36.2,36.82,36.1,36.7,19298996.0,AT&T
2018-03-02,36.0,36.4,35.95,36.35,21364000.0,0.0,1.0,36.0,36.4,35.95,36.35,21364000.0,AT&T
2018-03-01,36.31,36.75,35.865,36.0,28548902.0,0.0,1.0,36.31,36.75,35.865,36.0,28548902.0,AT&T
2018-02-28,37.18,37.18,36.3,36.3,28917497.0,0.0,1.0,37.18,37.18,36.3,36.3,28917497.0,AT&T
2018-02-27,37.42,37.64,36.87,36.87,21161420.0,0.0,1.0,37.42,37.64,36.87,36.87,21161420.0,AT&T
2018-02-26,36.93,37.51,36.81,37.46,19801615.0,0.0,1.0,36.93,37.51,36.81,37.46,19801615.0,AT&T
