Company;Date;Open;High;Low;Close;Volume;Ex-Dividend;Split Ratio;Adj. Open;Adj. High;Adj. Low;Adj. Close;Adj. Volume
T Mobile;27/3/18;61.66;62.02;60.08;60.34;2260424.0;0.0;1.0;61.66;62.02;60.08;60.34;2260424.0
T Mobile;26/3/18;60.7;61.63;60.18;61.38;3001089.0;0.0;1.0;60.7;61.63;60.18;61.38;3001089.0
T Mobile;23/3/18;61.42;61.765;59.73;59.74;4818088.0;0.0;1.0;61.42;61.765;59.73;59.74;4818088.0
T Mobile;22/3/18;61.84;62.07;61.21;61.25;4094351.0;0.0;1.0;61.84;62.07;61.21;61.25;4094351.0
T Mobile;21/3/18;62.6;63.21;62.52;62.59;2537296.0;0.0;1.0;62.6;63.21;62.52;62.59;2537296.0
T Mobile;20/3/18;63.32;64.11;62.69;62.78;2528233.0;0.0;1.0;63.32;64.11;62.69;62.78;2528233.0
T Mobile;19/3/18;64.68;648.602;63.05;63.22;3648635.0;0.0;1.0;64.68;648.602;63.05;63.22;3648635.0
T Mobile;16/3/18;64.44;65.0;64.36;64.76;5560312.0;0.0;1.0;64.44;65.0;64.36;64.76;5560312.0
T Mobile;15/3/18;64.71;65.52;646.101;64.71;2674418.0;0.0;1.0;64.71;65.52;646.101;64.71;2674418.0
T Mobile;14/3/18;65.23;65.64;64.5;64.78;3280924.0;0.0;1.0;65.23;65.64;64.5;64.78;3280924.0
T Mobile;13/3/18;65.1;65.76;64.8;64.98;4414580.0;0.0;1.0;65.1;65.76;64.8;64.98;4414580.0
T Mobile;12/3/18;65.51;65.73;644.275;64.55;2958938.0;0.0;1.0;65.51;65.73;644.275;64.55;2958938.0
T Mobile;9/3/18;65.3;65.78;65.12;65.25;3643074.0;0.0;1.0;65.3;65.78;65.12;65.25;3643074.0
T Mobile;8/3/18;65.0;65.28;64.25;65.06;2846566.0;0.0;1.0;65.0;65.28;64.25;65.06;2846566.0
T Mobile;7/3/18;63.57;64.995;63.21;64.56;6485533.0;0.0;1.0;63.57;64.995;63.21;64.56;6485533.0
T Mobile;6/3/18;63.3;63.91;62.65;63.56;3791932.0;0.0;1.0;63.3;63.91;62.65;63.56;3791932.0
T Mobile;5/3/18;62.01;63.12;62.01;62.95;3381000.0;0.0;1.0;62.01;63.12;62.01;62.95;3381000.0
T Mobile;2/3/18;61.58;62.67;61.28;62.47;5207885.0;0.0;1.0;61.58;62.67;61.28;62.47;5207885.0
T Mobile;1/3/18;60.78;62.4;60.48;61.9;5373176.0;0.0;1.0;60.78;62.4;60.48;61.9;5373176.0
T Mobile;28/2/18;60.52;61.39;59.96;60.61;3876112.0;0.0;1.0;60.52;61.39;59.96;60.61;3876112.0
T Mobile;27/2/18;61.04;61.17;59.93;59.94;3850873.0;0.0;1.0;61.04;61.17;59.93;59.94;3850873.0
T Mobile;26/2/18;60.0;61.15;58.74;61.11;4216922.0;0.0;1.0;60.0;61.15;58.74;61.11;4216922.0
T Mobile;23/2/18;59.39;60.08;58.64;60.06;3891296.0;0.0;1.0;59.39;60.08;58.64;60.06;3891296.0
T Mobile;22/2/18;59.75;59.98;58.59;58.73;2837275.0;0.0;1.0;59.75;59.98;58.59;58.73;2837275.0
T Mobile;21/2/18;61.09;61.09;59.39;59.42;2724212.0;0.0;1.0;61.09;61.09;59.39;59.42;2724212.0
T Mobile;20/2/18;60.0;60.83;596.601;60.51;2927578.0;0.0;1.0;60.0;60.83;596.601;60.51;2927578.0
T Mobile;16/2/18;60.63;60.87;59.79;60.06;4343288.0;0.0;1.0;60.63;60.87;59.79;60.06;4343288.0
T Mobile;15/2/18;59.32;606.097;58.19;60.44;5915305.0;0.0;1.0;59.32;606.097;58.19;60.44;5915305.0
T Mobile;14/2/18;57.35;58.8;57.06;58.62;6138077.0;0.0;1.0;57.35;58.8;57.06;58.62;6138077.0
